"idJeu","libelleJeu","auteurJeu","nbMinJoueurJeu","nbMaxJoueurJeu","noticeJeu","idEditeur","idTypeJeu","agemini","prototype","duree","theme","description","imageJeu","videoRegle"
"1141","Onix","Florian Sirieix, Benoit Turpin","2","6","https://www.dropbox.com/scl/fi/ec8o7j7cyfgo3drp0mu3u/ONIX_RULES_FR.pdf?rlkey=hubxxdwxhtkblvpon7rful6gd&dl=0","107","1","7","0","15","Abstrait","Dans le jeu Onix, vous cherchez à cumuler plus de cartes que vos adversaires pour remporter la victoire. Choisissez les bonnes Gemmes et utilisez leurs effets pour contrarier vos adversaires, compléter vos Collections et faire grossir votre Stock.","https://www.espritjeu.com/upload/image/onix-p-image-92811-grande.jpg","https://www.youtube.com/watch?v=QEi-iOqIP4E"
"1142","Mycelia","Daniel Greiner","1","4","https://www.ravensburger.fr/spielanleitungen/ecm/Spielanleitungen/22890%20anl%202362054.pdf?ossl=pds_text_Spielanleitung","161","1","9","0","45","Nature","Mycelia est un jeu de Deck building où vous récoltez des feuilles pour engager les créatures de la forêt et utiliser leurs pouvoirs pour retirer la rosée du matin.","https://cdn3.philibertnet.com/586074-large_default/mycelia.jpg","https://www.youtube.com/watch?v=tj16K-LoelU"
"1143","Le Seigneur des Anneaux - Jeu Livre d'Aventure","Marcus Ross, Jason Little","1","4","https://www.youtube.com/watch?v=gicmYpqdhrM&t=93s","161","1","10","0","30","Aventure, Médiéval, Fantastique","Dans le Seigneur des Anneaux - Jeu Livre d'Aventure, mettez-vous dans la peau des membres de la communauté de l'anneau et aidez la à vaincre Sauron et ses forces du mal.","https://cdn2.philibertnet.com/586053-large_default/le-seigneur-des-anneaux-jeu-livre-d-aventure.jpg","https://www.youtube.com/watch?v=gicmYpqdhrM&t=93s"
"1144","123 Faufile toi","Anthony Perone, Fabrice Chazal","2","2","https://www.ravensburger.fr/spielanleitungen/ecm/Spielanleitungen/22793%20anl%202364132.pdf?ossl=pds_text_Spielanleitung","161","4","6","0","25","Animaux, Jardin, 123 Soleil","Des ratons laveurs tentent de se frayer un chemin dans le jardin. Il y a tant d’objets et de nourriture à chaparder. Mais attention à ne pas se faire repérer par les petits jardiniers depuis la maison !","https://www.festivaldesjeux-cannes.com/media/2023/12/860fd5e0-8437-4f86-897b-1c8ecf79fd13.jpg","https://www.youtube.com/watch?v=UmCrs9IWlHk"
"1145","Kronologic - Paris 1920","Yohann Levet, Fabien Gridel","1","4","https://www.supermeeple.com/wp-content/uploads/2015/02/regles-FR3volets-ok1.pdf","155","6","10","0","30","Opéra de Paris 1920, Scénarios","Dans Kronologic - Paris 1920, démêlez une série d’affaires inexpliquées et rétablissez la vérité. Récupérez des indices sur les déplacements des personnages de l’intrigue, en déterminant à quel endroit ils se trouvaient au moment des faits. Chacune des enquête, à la complexité variable, mettra à l’épreuve votre perspicacité et vos compétences de déduction logique.","https://cdn3.philibertnet.com/611422-large_default/kronologic-paris-1920.jpg","https://www.youtube.com/watch?v=G0dezgmDJmE"
"1146","World Wonders","Zé Mendes","1","5","https://www.supermeeple.com/wp-content/uploads/2015/02/FRENCH-rule-book-WOW-compresse.pdf","136","6","10","0","90","Antiquité, Urbanisme","Dans World Wonders, chaque joueur utilise son or à chaque tour pour construire des tuiles qui augmenteront l'économie de sa ville.","https://cdn2.philibertnet.com/605431-large_default/world-wonders.jpg","https://www.youtube.com/watch?v=UH3YumtprzE&t=7s"
"1147","Premier de Cordée","Romain Eyheramendy, Semir Kryidy","2","2","https://idgroupe.dam-broadcast.com/pm_10541_1413_1413114-dutodf1jfg.pdf?hash=482808b86dd80a0551f858db30572b5b","283","4","7","0","10","Montagne, Sport","Au cœur de la montagne, deux cordées de 5 grimpeurs s'affrontent pour être la plus rapide à atteindre le sommet. Quel joueur sera le plus stratégique pour parvenir à hisser en premier sa cordée en haut de la montagne","https://cdn1.philibertnet.com/615212-large_default/premier-de-cordee.jpg","https://www.youtube.com/watch?v=2prApdq9goY"
"1148","Arkade","Joan Dufour, Lucas Dufour","2","2","https://www.youtube.com/watch?v=hjZsC_tM_Os&t=2s","283","1","7","0","25","Jeux Vidéo","En plein cœur de la galaxie, un escadron de vaisseaux aliens livre une bataille sans merci au défenseur de l’espace ! Qui sortira vainqueur de cet affrontement spatial ?","https://cdn3.philibertnet.com/612289-large_default/arkade.jpg","https://www.youtube.com/watch?v=H-qcAeUZrV0"
"1149","Ouisti'Plouf","Thomas Favrelière","2","4","https://www.didacto.com/index.php?controller=attachment&id_attachment=3725","283","4","4","0","10","Animaux","Retourne les bonnes tuiles Hippo pour faire traverser la rivière à tous tes Ouisti' sans faire plouf !","https://cdn1.philibertnet.com/613489-large_default/ouisti-plouf.jpg","https://www.youtube.com/watch?v=aIIFs5AvbuQ&t=1s"
"1150","Papa Fourmi","S. Andreacchio, T. Rivière","1","5","https://www.auzou.fr/index.php?controller=attachment&id_attachment=56","283","4","3","0","30","Animaux","C’est l’heure du repas pour la famille Fourmi ! Coopérez pour offrir à chaque bébé fourmi son plat préféré. Mais attention aux oiseaux qui effraient les bébés ! Un mémory twisté et coopératif, qui challenge la concentration et la mémoire.","https://cdn1.philibertnet.com/501794-large_default/mon-premier-jeu-de-papa-fourmi.jpg","https://www.youtube.com/watch?v=sSzGPKB1QLQ"
"1151","Gare au Monstre","Laurène Paumier","2","5","https://www.youtube.com/watch?v=VxMrFPrARHc&t=1s","283","4","3","0","30","Fantastique","Mon Premier Jeu de Gare au Monstre est un jeu d’observation et de dénombrement pour les enfants","https://cdn3.philibertnet.com/541111-large_default/mon-premier-jeu-de-gare-au-monstre.jpg","https://www.youtube.com/watch?v=VxMrFPrARHc&t=1s"
"1152","Animo Mondo",,"2","6","https://www.didacto.com/index.php?controller=attachment&id_attachment=3464","133","1","5","0","30","Animaux, Loto","Animo Mondo est un jeu de loto et de localisation des animaux du monde. Tentez de finir votre planche en premier pour remporter la partie !","https://cdn3.philibertnet.com/578393-large_default/animo-mondo.jpg","https://www.youtube.com/watch?v=Y9q6x7VE5Jk"
"1153","Ducky Ducky","Simon Geoffroy, Olivier Grégoire","2","4","https://www.dropbox.com/scl/fi/6w9opyr2epw3eb8xs9okf/ducky-ducky.pdf?rlkey=1i9ggqsdalf7yzhbnm0az2rae&e=1&dl=0","133","4","6","0","30","Animaux, Canard","Ducky Ducky est un jeu de placement et d'anticipation. Le courant de la rivière fait avancer l'ensemble des canards d'une case à chaque tour de jeu.","https://cdn3.philibertnet.com/600853-large_default/ducky-ducky.jpg","https://www.youtube.com/watch?v=zTYN1SKY2Bw&t=2321s"
"1154","Woodanimo","Cédric Martinez","1","1",,"133","1","7","0","30","Nature, Animaux","Woodanimo - Sologic est un jeu solo ou coopératif, idéal pour développer sa patience et sa logique.","https://cdn3.philibertnet.com/595759-large_default/woodanimo-sologic.jpg",
"1155","Zizanimal","Valéry Fourcade","1","1","https://media-library.djeco.com/images/files/DJ08592-RDJ-FR-EN-DE-ES-IT-PT-NL-SV-DA-RU.pdf","133","4","5","0","30","Animaux, Nature","Zizanimal est un jeu de réflexion où chaque animal a sa propre stratégie de déplacement et de poussée et où chaque défi a une seule et unique solution","https://cdn2.philibertnet.com/613056-large_default/zizanimal-sologic.jpg",
"1156","Fish'n Shark","Flavien Dauphin","2","4","https://media-library.djeco.com/images/files/DJ00805-RDJ-FR-EN-DE-ES-IT-PT-NL-SV-DA-RU.pdf","133","1","7","0","30","Animaux, Nature","Papa requin embarque ses petits dans une leçon de pêche. Qui sera le meilleur ? A chaque tour de jeu, les jeunes squales attrapent 4 poissons mais tous ne pourront pas être conservés. A chacun de bien choisir afin de compléter un maximum de cases de son plateau. Un jeu de stratégie féroce et facile!","https://cdn1.philibertnet.com/597409-large_default/fish-n-shark.jpg",
"1157","Little mémo : Garden","Babayaga","2","4","https://media-library.djeco.com/images/files/DJ08559-RDJ-FR-EN-DE-ES-IT-PT-NL-SV-DA-RU.pdf","133","4","3","0","10","Animaux, Nature","Les tortues sont gourmandes et facétieuses. Elles se jouent dans le jardin où elles ont caché de beaux fruits et légumes pour leur gouter. Saurez-vous retrouver quelle tortue cache la carotte ou le radis ?","https://cdn3.philibertnet.com/597414-large_default/jeux-des-tout-petits-little-memo-garden.jpg","https://www.youtube.com/watch?v=3v0mn_ZTXrM&t=4s"
"1158","Rock Band","Théo Riviere","2","4","https://www.didacto.com/index.php?controller=attachment&id_attachment=3467","133","4","4","0","30","Animaux, Groupe de Rock Pingouins","Le festival de la mouette rockeuse approche! Guitariste esseulé, soyez le plus rapide à convaincre les meilleurs musiciens de vous rejoindre pour former un groupe. Un indice : ils sont gourmands!","https://cdn1.philibertnet.com/582347-large_default/rock-band.jpg","https://www.youtube.com/watch?v=wcwJMOAdU50&t=21s"
"1159","Hotelogic","Yoann Levet, Manon Levet","1","1","https://www.didacto.com/regles?controller=attachment&id_attachment=3534","133","1","7","0","30","Abstrait","Découvrez Hotelogic de la collection Sologic de Djeco, un jeu de logique et de patience dans lequel les enfants, dès 7 ans, vont devoir résoudre 60 challenges de difficulté croissante.","https://cdn1.philibertnet.com/595909-large_default/hotelogic-sologic.jpg","https://www.youtube.com/watch?v=3AW1HlAbaaQ&t=1s"
"1160","Similix","Grégory Kirszbaum, Alex Sanders","2","5","https://media-library.djeco.com/images/files/DJ05087-RDJ-FR-EN-DE-ES-IT-PT-NL-SV-DA-RU.pdf","133","4","4","0","30","Comtemporain","Qui sera le plus rapide à retrouver la carte silhouette qui correspond à la carte illustrée ?","https://cdn3.philibertnet.com/582445-large_default/similix.jpg",
"1161","Jungle Taquin","Yann Dupont","2","2","https://www.didacto.com/regles?controller=attachment&id_attachment=3675","133","4","6","0","30","Animaux","Découvrez Jungle Taquin , un jeu de rapidité, de stratégie et de repérage dans l’espace dans lequel vous devrez reproduire les défis des cartes.","https://cdn1.philibertnet.com/602161-large_default/jungle-taquin.jpg","https://www.youtube.com/watch?v=mYUuhwT786k"
"1162","Archilogic","Levet's","1","1","https://www.didacto.com/index.php?controller=attachment&id_attachment=3505","133","4","5","0","45","Architecture","Votre petit architecte va devoir reconstruire les gratte-ciel d'une grande ville en respectant des contraintes imposées... attention de ne pas boucher la vue des habitants! À lui de placer 8 pièces parmi les 10, recto ou verso, à l’horizontale ou à la verticale, pour résoudre le défi.","https://www.lapouleapois.fr/88198-medium_default/archilogic-sologic-djeco.jpg","https://www.youtube.com/watch?v=YRHGybVPqRo&t=2s"
